,0,1
0,Thailand,1.8888031077976988
1,Japan,1.2892173700558012
2,Singapore,1.4567278686452934
3,Nepal,1.0
4,Malaysia,4.160176510823674
5,Canada,5.910404595873771
6,Australia,4.5850443412902075
7,Cambodia,1.7595756926704273
8,Sri Lanka,0.24041821093665128
9,Germany,5.92193068720171
10,Finland,3.546299725034775
11,United Arab Emirates,1.0066535545079929
12,Philippines,2.412670957465049
13,India,4.328049362303146
14,Italy,2.9003493684553088
15,Sweden,2.14226589820135
16,Spain,5.973691760975964
17,Belgium,3.9236080698940228
18,Egypt,1.892570709930755
19,Lebanon,2.60467570502527
20,Iraq,1.9819062852937168
21,Oman,0.059554451792203124
22,Afghanistan,1.0
23,Bahrain,1.6714356505853514
24,Kuwait,1.7847358277269014
25,Algeria,3.5195148593778343
26,Croatia,4.884919824829528
27,Switzerland,3.7970153753594924
28,Austria,4.910216203688789
29,Israel,3.9239059478636613
30,Pakistan,7.481147081770093
31,Brazil,13.580103220427269
32,Georgia,3.530497749382115
33,Greece,2.056995757283596
34,North Macedonia,6.4617193395436745
35,Norway,2.695652997218207
36,Romania,2.586102230681544
37,Estonia,0.37351234283992235
38,San Marino,0.8346377006092037
39,Belarus,0.5329205279183311
40,Iceland,3.3745284181961592
41,Lithuania,65.91317380400443
42,Mexico,3.870417278614388
43,New Zealand,2.32580728670165
44,Ireland,8.352870440374218
45,Luxembourg,11.056870326344212
46,Monaco,1.0578756632268618
47,Qatar,0.42570109341227663
48,Ecuador,45.58416987552577
49,Azerbaijan,2.5444762979398763
50,Armenia,1.606997254407022
51,Dominican Republic,60.286726980576276
52,Indonesia,6.5510488637227455
53,Portugal,7.770039625762345
54,Andorra,3.4463805053886896
55,Latvia,2.59017334241142
56,Morocco,2.9304049616654515
57,Saudi Arabia,3.446259015108409
58,Senegal,32.42304092449471
59,Argentina,5.049090153276079
60,Chile,3.0646666798916122
61,Jordan,0.2770036884573704
62,Ukraine,13.119156114120768
63,Hungary,7.441799430141653
64,Liechtenstein,2.0907515812876952e-07
65,Poland,3.9998719401171146
66,Tunisia,1.2337683866511775
67,Bosnia and Herzegovina,1.1427461300794932
68,Slovenia,0.8685403736692404
69,South Africa,4.7748110557867145
70,Bhutan,1.0
71,Cameroon,1.0
72,Colombia,3.5071342180752008
73,Costa Rica,4.64215313494813
74,Peru,2.5467408347753904
75,Serbia,4.671064731283715
76,Slovakia,1.3020607658048196
77,Togo,1.0433562066431787
78,Malta,7.463881320151188
79,Martinique,0.12780452546295087
80,Bulgaria,3.2006637974649803
81,Maldives,1.027427385667485
82,Bangladesh,1.0933735904633974
83,Paraguay,1.06442680980869
84,Albania,1.1800041580155007
85,Cyprus,1.219532713847941
86,Brunei,0.5565833115749858
87,US,8.691864180906187
88,Burkina Faso,1.668102910727481
89,Holy See,1.0
90,Mongolia,1.0280987525370622
91,Panama,5.904531451217988
92,China,0.6316448607829084
93,Iran,2.483103698097917
94,"Korea, South",1.1541767753959542
95,France,3.804813499371084
96,Cruise Ship,0.5931932434930994
97,Denmark,1.2653774843615642
98,Czechia,6.848448381895324
99,Taiwan*,2.1740336512695935
100,Vietnam,2.3840087533872985
101,Russia,4.628262901795171
102,Moldova,0.45968643997114617
103,Bolivia,1.0670143646421688
104,Honduras,1.0676753206792697
105,United Kingdom,3.9370406416734745
106,Cote d'Ivoire,1.0419427485266706
107,Jamaica,1.0337287839652938
108,Turkey,64.7813933146135
109,Cuba,1.0
110,Guyana,1.0197123286624512
111,Kazakhstan,0.41014148579071036
112,Ethiopia,1.0318988555900366
113,Sudan,1.0
114,Guinea,1.0
115,Kenya,1.0437810705069608
116,Antigua and Barbuda,1.0
117,Uruguay,0.8418105976768772
118,Ghana,1.0816683655020338
119,Namibia,1.005660841558778
120,Seychelles,1.0126520539933608
121,Trinidad and Tobago,6.103515625000032e-12
122,Venezuela,0.16682911012004575
123,Eswatini,1.0122750758351156
124,Gabon,1.007210261375781
125,Guatemala,1.062018722363158
126,Mauritania,1.0
127,Rwanda,1.0504328118855806
128,Saint Lucia,1.0
129,Saint Vincent and the Grenadines,1.0
130,Suriname,1.0114520700328122
131,Kosovo,1.0059189125738968
132,Central African Republic,1.007210261375781
133,Congo (Brazzaville),1.0069518590618947
134,Equatorial Guinea,1.0176554888255471
135,Uzbekistan,0.00031622776601683783
136,Netherlands,3.770024104243379
137,Benin,1.0
138,Liberia,1.0
139,Somalia,1.0
140,Tanzania,1.038263332359261
141,Barbados,1.0413184351004063
142,Montenegro,1.0616307228552682
143,Kyrgyzstan,1.04527870980532
144,Mauritius,1.0577920035437287
145,Zambia,1.0066935230417684
146,Djibouti,1.0
147,"Gambia, The",1.0
148,"Bahamas, The",1.0069518590618947
149,Chad,1.0
150,El Salvador,1.0074687300004401
151,Fiji,1.0
152,Nicaragua,1.0
153,Madagascar,1.0114520700328122
154,Haiti,1.007210261375781
155,Angola,1.0
156,Cabo Verde,1.0074687300004401
157,Niger,1.0
158,Papua New Guinea,1.0
159,Zimbabwe,1.0074687300004401
160,Cape Verde,1.0
161,East Timor,1.0
162,Eritrea,1.0
163,Uganda,1.0
164,Dominica,1.0
165,Grenada,1.0
166,Mozambique,1.0
167,Syria,1.0
168,Timor-Leste,1.0
